locality,bhk,price_lakhs,area_sqft,furnishing_status,facing,status,floor,parking,bathroom,city,price_per_sqft,price_segment,affordability_score
Thane East,2,59.91,923.0,Furnished,East,Ready to Move,7,1,2,Mumbai,6490.79,Mid-Range (50-100L),96.5
Bandra East,5,430.68,2010.0,Furnished,West,Under Construction,8,0,1,Mumbai,21426.87,Luxury (2Cr+),71.6
Mira Road,2,51.26,883.0,Semi-Furnished,East,Ready to Move,4,0,1,Mumbai,5805.21,Mid-Range (50-100L),97.1
Andheri East,2,71.76,1020.0,Semi-Furnished,South,Under Construction,3,1,3,Mumbai,7035.29,Mid-Range (50-100L),95.8
Bandra West,3,551.06,1496.0,Semi-Furnished,West,Ready to Move,3,1,3,Mumbai,36835.56,Luxury (2Cr+),63.5
Kandivali East,3,113.23,1472.0,Furnished,East,Ready to Move,15,0,2,Mumbai,7692.26,Premium (1-2Cr),93.0
Chembur,4,269.35,1001.0,Unfurnished,South,Under Construction,13,2,3,Mumbai,26908.09,Luxury (2Cr+),82.5
Dahisar,3,126.95,1453.0,Furnished,East,Under Construction,21,1,2,Mumbai,8737.1,Premium (1-2Cr),92.0
Kandivali East,3,138.63,1246.0,Semi-Furnished,South,Under Construction,29,1,3,Mumbai,11126.0,Premium (1-2Cr),91.3
Dombivli,3,50.21,1084.0,Furnished,West,Ready to Move,25,0,1,Mumbai,4631.92,Mid-Range (50-100L),97.2
Goregaon West,2,98.14,924.0,Semi-Furnished,North,Under Construction,3,1,2,Mumbai,10621.21,Mid-Range (50-100L),94.0
Mulund West,3,146.89,1104.0,Unfurnished,East,Under Construction,6,1,3,Mumbai,13305.25,Premium (1-2Cr),90.7
Ulhasnagar,3,43.17,1319.0,Unfurnished,South,Ready to Move,20,1,1,Mumbai,3272.93,Affordable (<50L),97.7
Mulund West,2,57.69,777.0,Unfurnished,West,Under Construction,20,1,2,Mumbai,7424.71,Mid-Range (50-100L),96.7
Dadar,1,71.93,852.0,Unfurnished,West,Ready to Move,14,1,3,Mumbai,8442.49,Mid-Range (50-100L),95.7
Bandra West,2,299.67,773.0,Furnished,West,Under Construction,21,1,3,Mumbai,38767.14,Luxury (2Cr+),80.4
Dadar,2,134.39,1088.0,Furnished,North,Under Construction,20,1,3,Mumbai,12352.02,Premium (1-2Cr),91.5
Borivali East,1,37.88,603.0,Unfurnished,East,Ready to Move,2,1,1,Mumbai,6281.92,Affordable (<50L),98.0
Andheri East,1,35.21,793.0,Furnished,North,Ready to Move,9,2,3,Mumbai,4440.1,Affordable (<50L),98.2
Malad West,2,68.27,1046.0,Furnished,South,Under Construction,7,0,3,Mumbai,6526.77,Mid-Range (50-100L),96.0
Nalasopara,2,19.28,1028.0,Semi-Furnished,North,Under Construction,5,2,3,Mumbai,1875.49,Affordable (<50L),99.3
Ulhasnagar,3,42.92,1163.0,Unfurnished,East,Ready to Move,22,0,2,Mumbai,3690.46,Affordable (<50L),97.7
Worli,2,246.91,830.0,Semi-Furnished,North,Under Construction,24,2,3,Mumbai,29748.19,Luxury (2Cr+),84.0
Andheri West,2,180.12,1015.0,Furnished,West,Ready to Move,13,0,2,Mumbai,17745.81,Premium (1-2Cr),88.5
Goregaon West,2,136.61,749.0,Semi-Furnished,West,Under Construction,2,1,2,Mumbai,18238.99,Premium (1-2Cr),91.4
Kurla,2,110.45,896.0,Semi-Furnished,East,Ready to Move,9,0,1,Mumbai,12327.01,Premium (1-2Cr),93.2
Andheri West,1,66.26,639.0,Semi-Furnished,West,Under Construction,28,0,3,Mumbai,10369.33,Mid-Range (50-100L),96.1
Goregaon West,3,181.06,1432.0,Furnished,North,Ready to Move,28,2,3,Mumbai,12643.85,Premium (1-2Cr),88.4
Navi Mumbai,2,91.62,956.0,Furnished,South,Ready to Move,8,0,2,Mumbai,9583.68,Mid-Range (50-100L),94.4
Andheri West,2,88.55,706.0,Furnished,South,Ready to Move,8,1,3,Mumbai,12542.49,Mid-Range (50-100L),94.6
Goregaon West,2,130.62,1031.0,Unfurnished,North,Under Construction,5,0,2,Mumbai,12669.25,Premium (1-2Cr),91.8
Virar,1,12.28,819.0,Furnished,East,Under Construction,15,1,2,Mumbai,1499.39,Affordable (<50L),99.7
Mira Road,2,69.18,1022.0,Semi-Furnished,North,Under Construction,18,1,3,Mumbai,6769.08,Mid-Range (50-100L),95.9
Mira Road,3,56.2,1166.0,Unfurnished,South,Under Construction,28,1,2,Mumbai,4819.9,Mid-Range (50-100L),96.8
Malad East,1,52.77,629.0,Furnished,South,Ready to Move,14,1,1,Mumbai,8389.51,Mid-Range (50-100L),97.0
Airoli,2,52.03,761.0,Unfurnished,West,Ready to Move,24,0,2,Mumbai,6837.06,Mid-Range (50-100L),97.1
Ghatkopar East,3,174.28,1018.0,Unfurnished,West,Ready to Move,13,1,3,Mumbai,17119.84,Premium (1-2Cr),88.9
Kandivali East,3,112.86,967.0,Unfurnished,South,Under Construction,22,2,1,Mumbai,11671.15,Premium (1-2Cr),93.0
Airoli,1,22.7,790.0,Unfurnished,West,Ready to Move,15,2,3,Mumbai,2873.42,Affordable (<50L),99.0
Powai,3,269.26,1234.0,Unfurnished,North,Under Construction,19,2,3,Mumbai,21820.1,Luxury (2Cr+),82.5
Chembur,3,170.46,1420.0,Furnished,North,Under Construction,10,1,1,Mumbai,12004.23,Premium (1-2Cr),89.1
Borivali West,2,104.53,750.0,Semi-Furnished,West,Ready to Move,25,1,3,Mumbai,13937.33,Premium (1-2Cr),93.5
Nalasopara,1,12.19,824.0,Semi-Furnished,West,Under Construction,26,1,3,Mumbai,1479.37,Affordable (<50L),99.8
Thane West,4,195.3,1294.0,Unfurnished,South,Ready to Move,23,1,2,Mumbai,15092.74,Premium (1-2Cr),87.4
Vasai,5,77.62,1576.0,Semi-Furnished,South,Under Construction,3,1,3,Mumbai,4925.13,Mid-Range (50-100L),95.4
Virar,2,16.05,789.0,Semi-Furnished,West,Under Construction,4,0,3,Mumbai,2034.22,Affordable (<50L),99.5
Kharghar,1,33.88,718.0,Semi-Furnished,North,Under Construction,5,1,3,Mumbai,4718.66,Affordable (<50L),98.3
Bandra East,3,320.31,1290.0,Semi-Furnished,North,Ready to Move,28,2,1,Mumbai,24830.23,Luxury (2Cr+),79.0
Navi Mumbai,3,133.02,1335.0,Semi-Furnished,West,Ready to Move,4,2,3,Mumbai,9964.04,Premium (1-2Cr),91.6
Mira Road,3,100.96,1003.0,Unfurnished,South,Ready to Move,27,2,2,Mumbai,10065.8,Premium (1-2Cr),93.8
Dombivli,1,23.48,724.0,Unfurnished,North,Ready to Move,6,2,3,Mumbai,3243.09,Affordable (<50L),99.0
Goregaon West,3,169.77,1232.0,Furnished,South,Ready to Move,10,1,2,Mumbai,13780.03,Premium (1-2Cr),89.2
Powai,1,93.11,755.0,Semi-Furnished,East,Ready to Move,13,2,3,Mumbai,12332.45,Mid-Range (50-100L),94.3
Navi Mumbai,5,249.23,1364.0,Furnished,East,Under Construction,5,0,3,Mumbai,18271.99,Luxury (2Cr+),83.8
Malad East,2,91.77,1016.0,Semi-Furnished,North,Ready to Move,18,2,1,Mumbai,9032.48,Mid-Range (50-100L),94.4
Vashi,4,113.04,1046.0,Semi-Furnished,South,Under Construction,28,0,3,Mumbai,10806.88,Premium (1-2Cr),93.0
Vashi,4,253.58,1055.0,Semi-Furnished,West,Under Construction,28,2,2,Mumbai,24036.02,Luxury (2Cr+),83.5
Lower Parel,3,590.94,1091.0,Unfurnished,West,Ready to Move,13,1,3,Mumbai,54164.99,Luxury (2Cr+),60.9
Malad West,2,58.32,731.0,Semi-Furnished,North,Ready to Move,21,1,1,Mumbai,7978.11,Mid-Range (50-100L),96.7
Worli,3,406.67,1004.0,Unfurnished,South,Under Construction,15,2,3,Mumbai,40504.98,Luxury (2Cr+),73.2
Parel,3,296.39,1325.0,Semi-Furnished,East,Under Construction,5,2,2,Mumbai,22369.06,Luxury (2Cr+),80.7
Vasai,3,45.22,1051.0,Furnished,South,Under Construction,25,0,1,Mumbai,4302.57,Affordable (<50L),97.5
Dombivli,1,24.96,696.0,Furnished,North,Under Construction,23,0,1,Mumbai,3586.21,Affordable (<50L),98.9
Vashi,1,42.95,740.0,Unfurnished,West,Ready to Move,17,1,2,Mumbai,5804.05,Affordable (<50L),97.7
Andheri West,5,249.73,2048.0,Furnished,West,Under Construction,2,2,3,Mumbai,12193.85,Luxury (2Cr+),83.8
Nalasopara,3,33.85,1362.0,Semi-Furnished,South,Ready to Move,10,2,2,Mumbai,2485.32,Affordable (<50L),98.3
Ghatkopar East,3,173.5,1204.0,Semi-Furnished,South,Under Construction,15,0,3,Mumbai,14410.3,Premium (1-2Cr),88.9
Lower Parel,4,588.89,1601.0,Furnished,North,Under Construction,25,1,2,Mumbai,36782.64,Luxury (2Cr+),61.0
Kandivali East,1,32.94,829.0,Unfurnished,South,Ready to Move,25,2,2,Mumbai,3973.46,Affordable (<50L),98.4
Navi Mumbai,2,107.51,802.0,Semi-Furnished,South,Under Construction,28,0,3,Mumbai,13405.24,Premium (1-2Cr),93.3
Vasai,2,29.37,1021.0,Unfurnished,South,Under Construction,8,1,2,Mumbai,2876.59,Affordable (<50L),98.6
Kharghar,3,118.25,1056.0,Unfurnished,East,Ready to Move,27,1,2,Mumbai,11197.92,Premium (1-2Cr),92.6
Dahisar,3,64.34,981.0,Furnished,South,Under Construction,16,2,3,Mumbai,6558.61,Mid-Range (50-100L),96.2
Bandra East,3,405.0,1407.0,Furnished,South,Ready to Move,14,2,1,Mumbai,28784.65,Luxury (2Cr+),73.4
Panvel,1,17.9,859.0,Unfurnished,North,Ready to Move,27,0,1,Mumbai,2083.82,Affordable (<50L),99.4
Bandra West,1,103.67,838.0,Semi-Furnished,West,Under Construction,5,2,3,Mumbai,12371.12,Premium (1-2Cr),93.6
Lower Parel,4,713.15,1433.0,Unfurnished,South,Under Construction,25,2,2,Mumbai,49766.22,Luxury (2Cr+),52.6
Malad West,2,73.55,1110.0,Semi-Furnished,West,Under Construction,21,1,1,Mumbai,6626.13,Mid-Range (50-100L),95.6
Panvel,2,34.67,874.0,Unfurnished,West,Under Construction,11,0,1,Mumbai,3966.82,Affordable (<50L),98.2
Borivali West,2,49.77,1070.0,Semi-Furnished,West,Ready to Move,8,2,1,Mumbai,4651.4,Affordable (<50L),97.2
Kharghar,1,40.6,648.0,Unfurnished,North,Under Construction,26,0,3,Mumbai,6265.43,Affordable (<50L),97.8
Ulhasnagar,4,46.59,1523.0,Semi-Furnished,South,Under Construction,17,2,1,Mumbai,3059.09,Affordable (<50L),97.4
Ulhasnagar,1,15.81,856.0,Unfurnished,North,Ready to Move,27,1,3,Mumbai,1846.96,Affordable (<50L),99.5
Kandivali East,2,67.11,1101.0,Unfurnished,South,Ready to Move,25,1,2,Mumbai,6095.37,Mid-Range (50-100L),96.1
Virar,3,29.54,1310.0,Semi-Furnished,North,Ready to Move,10,2,1,Mumbai,2254.96,Affordable (<50L),98.6
Lower Parel,2,395.63,1011.0,Furnished,North,Under Construction,23,0,3,Mumbai,39132.54,Luxury (2Cr+),74.0
Navi Mumbai,2,47.88,1052.0,Furnished,South,Under Construction,17,1,1,Mumbai,4551.33,Affordable (<50L),97.4
Dombivli,3,51.33,1386.0,Furnished,North,Ready to Move,27,1,1,Mumbai,3703.46,Mid-Range (50-100L),97.1
Bandra East,2,255.97,1139.0,Furnished,West,Under Construction,9,2,3,Mumbai,22473.22,Luxury (2Cr+),83.4
Chembur,2,87.03,1095.0,Furnished,North,Ready to Move,5,0,2,Mumbai,7947.95,Mid-Range (50-100L),94.7
Dombivli,2,27.38,1155.0,Unfurnished,East,Under Construction,24,0,3,Mumbai,2370.56,Affordable (<50L),98.7
Nerul,3,101.48,1132.0,Unfurnished,North,Ready to Move,19,1,3,Mumbai,8964.66,Premium (1-2Cr),93.8
Kurla,3,139.92,1260.0,Furnished,East,Ready to Move,4,2,3,Mumbai,11104.76,Premium (1-2Cr),91.2
Lower Parel,2,252.28,944.0,Semi-Furnished,South,Under Construction,24,1,2,Mumbai,26724.58,Luxury (2Cr+),83.6
Andheri West,3,234.14,896.0,Furnished,West,Ready to Move,29,1,2,Mumbai,26131.7,Luxury (2Cr+),84.8
Worli,3,488.98,1155.0,Furnished,East,Ready to Move,17,2,2,Mumbai,42335.93,Luxury (2Cr+),67.7
Kharghar,3,101.86,1199.0,Furnished,West,Ready to Move,8,2,3,Mumbai,8495.41,Premium (1-2Cr),93.7
Dombivli,5,101.66,1567.0,Semi-Furnished,West,Ready to Move,22,1,1,Mumbai,6487.56,Premium (1-2Cr),93.7
Malad West,3,93.01,1251.0,Furnished,North,Ready to Move,7,2,1,Mumbai,7434.85,Mid-Range (50-100L),94.3
Nalasopara,2,27.06,1165.0,Furnished,East,Under Construction,12,2,3,Mumbai,2322.75,Affordable (<50L),98.8
Kandivali East,3,122.36,1018.0,Furnished,South,Ready to Move,13,1,3,Mumbai,12019.65,Premium (1-2Cr),92.4
Borivali West,3,145.78,851.0,Semi-Furnished,East,Ready to Move,23,0,3,Mumbai,17130.43,Premium (1-2Cr),90.8
Thane East,1,21.09,684.0,Unfurnished,South,Under Construction,5,2,3,Mumbai,3083.33,Affordable (<50L),99.2
Dahisar,2,80.12,902.0,Unfurnished,North,Ready to Move,7,1,3,Mumbai,8882.48,Mid-Range (50-100L),95.2
Malad East,1,51.53,760.0,Semi-Furnished,West,Ready to Move,22,0,1,Mumbai,6780.26,Mid-Range (50-100L),97.1
Nalasopara,2,34.74,760.0,Semi-Furnished,East,Under Construction,3,1,2,Mumbai,4571.05,Affordable (<50L),98.2
Thane West,4,135.27,1236.0,Furnished,North,Ready to Move,15,1,3,Mumbai,10944.17,Premium (1-2Cr),91.5
Panvel,1,19.08,713.0,Furnished,West,Under Construction,21,1,2,Mumbai,2676.02,Affordable (<50L),99.3
Thane East,2,72.34,838.0,Furnished,West,Under Construction,28,1,2,Mumbai,8632.46,Mid-Range (50-100L),95.7
Bandra West,4,615.49,1255.0,Semi-Furnished,North,Ready to Move,22,0,2,Mumbai,49043.03,Luxury (2Cr+),59.2
Lower Parel,2,314.98,722.0,Furnished,East,Ready to Move,20,2,3,Mumbai,43626.04,Luxury (2Cr+),79.4
Malad East,1,43.74,669.0,Unfurnished,North,Under Construction,11,0,1,Mumbai,6538.12,Affordable (<50L),97.6
Virar,2,31.4,1121.0,Semi-Furnished,East,Ready to Move,4,0,3,Mumbai,2801.07,Affordable (<50L),98.5
Borivali West,3,155.57,1196.0,Furnished,South,Under Construction,27,1,2,Mumbai,13007.53,Premium (1-2Cr),90.1
Worli,5,955.89,1448.0,Furnished,North,Ready to Move,10,0,2,Mumbai,66014.5,Luxury (2Cr+),36.3
Vasai,5,78.11,1600.0,Semi-Furnished,South,Under Construction,28,0,1,Mumbai,4881.88,Mid-Range (50-100L),95.3
Kurla,2,54.1,1185.0,Semi-Furnished,South,Ready to Move,5,0,1,Mumbai,4565.4,Mid-Range (50-100L),96.9
Powai,1,60.96,636.0,Unfurnished,North,Ready to Move,10,1,3,Mumbai,9584.91,Mid-Range (50-100L),96.5
Panvel,2,73.42,979.0,Unfurnished,East,Under Construction,24,0,2,Mumbai,7499.49,Mid-Range (50-100L),95.6
Powai,1,85.65,691.0,Furnished,North,Under Construction,18,1,1,Mumbai,12395.08,Mid-Range (50-100L),94.8
Vashi,5,225.37,1844.0,Furnished,East,Ready to Move,4,1,2,Mumbai,12221.8,Luxury (2Cr+),85.4
Worli,2,455.68,877.0,Unfurnished,South,Under Construction,21,1,2,Mumbai,51958.95,Luxury (2Cr+),70.0
Nalasopara,2,36.72,838.0,Semi-Furnished,West,Under Construction,6,0,2,Mumbai,4381.86,Affordable (<50L),98.1
Navi Mumbai,5,271.67,1609.0,Semi-Furnished,North,Ready to Move,26,1,2,Mumbai,16884.4,Luxury (2Cr+),82.3
Dombivli,3,59.83,1244.0,Furnished,North,Under Construction,17,2,3,Mumbai,4809.49,Mid-Range (50-100L),96.6
Vikhroli,1,37.75,761.0,Unfurnished,South,Ready to Move,13,2,1,Mumbai,4960.58,Affordable (<50L),98.0
Kandivali East,2,44.18,1020.0,Furnished,South,Under Construction,19,2,2,Mumbai,4331.37,Affordable (<50L),97.6
Borivali West,3,73.63,1160.0,Furnished,West,Ready to Move,3,1,2,Mumbai,6347.41,Mid-Range (50-100L),95.6
Panvel,1,21.84,807.0,Semi-Furnished,East,Under Construction,15,2,2,Mumbai,2706.32,Affordable (<50L),99.1
Kandivali East,5,225.99,1430.0,Unfurnished,North,Ready to Move,4,0,3,Mumbai,15803.5,Luxury (2Cr+),85.4
Andheri West,2,80.68,1169.0,Furnished,North,Ready to Move,4,2,2,Mumbai,6901.63,Mid-Range (50-100L),95.2
Dahisar,3,89.84,900.0,Semi-Furnished,North,Under Construction,11,2,2,Mumbai,9982.22,Mid-Range (50-100L),94.5
Vikhroli,1,24.19,585.0,Semi-Furnished,South,Under Construction,8,0,2,Mumbai,4135.04,Affordable (<50L),98.9
Mulund East,3,77.05,897.0,Furnished,South,Ready to Move,28,1,2,Mumbai,8589.74,Mid-Range (50-100L),95.4
Kandivali East,3,144.06,1113.0,Unfurnished,West,Ready to Move,7,0,1,Mumbai,12943.4,Premium (1-2Cr),90.9
Thane West,4,112.56,1027.0,Unfurnished,East,Ready to Move,25,0,1,Mumbai,10960.08,Premium (1-2Cr),93.0
Nerul,5,210.81,1744.0,Semi-Furnished,West,Under Construction,28,1,3,Mumbai,12087.73,Luxury (2Cr+),86.4
Vashi,3,146.53,928.0,Unfurnished,North,Under Construction,18,2,2,Mumbai,15789.87,Premium (1-2Cr),90.7
Thane East,3,104.99,885.0,Furnished,North,Ready to Move,17,1,3,Mumbai,11863.28,Premium (1-2Cr),93.5
Parel,1,100.45,797.0,Unfurnished,South,Under Construction,8,0,3,Mumbai,12603.51,Premium (1-2Cr),93.8
Kurla,4,152.99,1216.0,Unfurnished,West,Under Construction,4,1,2,Mumbai,12581.41,Premium (1-2Cr),90.3
Powai,2,236.13,889.0,Unfurnished,East,Ready to Move,26,2,2,Mumbai,26561.3,Luxury (2Cr+),84.7
Kurla,1,57.63,845.0,Unfurnished,West,Ready to Move,23,0,3,Mumbai,6820.12,Mid-Range (50-100L),96.7
Powai,2,244.77,1081.0,Furnished,South,Ready to Move,25,1,1,Mumbai,22642.92,Luxury (2Cr+),84.1
Panvel,2,64.75,1022.0,Semi-Furnished,East,Ready to Move,22,2,3,Mumbai,6335.62,Mid-Range (50-100L),96.2
Ulhasnagar,1,15.61,820.0,Furnished,South,Ready to Move,9,0,2,Mumbai,1903.66,Affordable (<50L),99.5
Vasai,2,45.51,806.0,Furnished,West,Ready to Move,22,1,1,Mumbai,5646.4,Affordable (<50L),97.5
Mira Road,3,91.76,1042.0,Unfurnished,South,Under Construction,3,1,3,Mumbai,8806.14,Mid-Range (50-100L),94.4
Panvel,3,75.0,1226.0,Furnished,South,Ready to Move,3,0,1,Mumbai,6117.46,Mid-Range (50-100L),95.5
Malad East,2,64.59,1118.0,Semi-Furnished,East,Ready to Move,6,1,1,Mumbai,5777.28,Mid-Range (50-100L),96.2
Mira Road,5,83.77,1849.0,Semi-Furnished,East,Under Construction,22,0,2,Mumbai,4530.56,Mid-Range (50-100L),94.9
Dadar,2,127.5,899.0,Furnished,South,Ready to Move,28,2,1,Mumbai,14182.42,Premium (1-2Cr),92.0
Dahisar,5,195.0,1697.0,Semi-Furnished,North,Ready to Move,9,1,3,Mumbai,11490.87,Premium (1-2Cr),87.5
Borivali East,3,61.45,1041.0,Furnished,North,Under Construction,7,0,3,Mumbai,5902.98,Mid-Range (50-100L),96.4
Mulund East,2,91.31,1187.0,Unfurnished,North,Ready to Move,11,0,1,Mumbai,7692.5,Mid-Range (50-100L),94.4
Kandivali East,3,78.8,1435.0,Furnished,East,Ready to Move,2,1,3,Mumbai,5491.29,Mid-Range (50-100L),95.3
Powai,3,299.15,1228.0,Furnished,North,Ready to Move,24,1,2,Mumbai,24360.75,Luxury (2Cr+),80.5
Mulund West,3,124.59,996.0,Unfurnished,West,Ready to Move,26,0,2,Mumbai,12509.04,Premium (1-2Cr),92.2
Navi Mumbai,2,76.91,1153.0,Unfurnished,South,Ready to Move,11,0,1,Mumbai,6670.42,Mid-Range (50-100L),95.4
Virar,3,55.54,1200.0,Unfurnished,East,Under Construction,18,1,1,Mumbai,4628.33,Mid-Range (50-100L),96.8
Borivali West,2,83.96,924.0,Semi-Furnished,East,Under Construction,6,2,2,Mumbai,9086.58,Mid-Range (50-100L),94.9
Mulund West,5,265.73,1222.0,Semi-Furnished,West,Under Construction,18,1,2,Mumbai,21745.5,Luxury (2Cr+),82.7
Powai,2,121.53,923.0,Furnished,North,Under Construction,1,0,2,Mumbai,13166.85,Premium (1-2Cr),92.4
Powai,1,113.74,635.0,Semi-Furnished,East,Under Construction,4,2,3,Mumbai,17911.81,Premium (1-2Cr),92.9
Parel,4,378.28,1367.0,Semi-Furnished,North,Ready to Move,23,1,2,Mumbai,27672.28,Luxury (2Cr+),75.2
Parel,3,274.74,1365.0,Unfurnished,East,Under Construction,17,2,2,Mumbai,20127.47,Luxury (2Cr+),82.1
Mulund East,1,56.4,687.0,Semi-Furnished,South,Under Construction,4,2,1,Mumbai,8209.61,Mid-Range (50-100L),96.8
Nalasopara,1,9.49,748.0,Semi-Furnished,East,Under Construction,12,0,3,Mumbai,1268.72,Affordable (<50L),99.9
Malad East,2,70.14,1163.0,Semi-Furnished,North,Ready to Move,21,1,3,Mumbai,6030.95,Mid-Range (50-100L),95.9
Dahisar,1,30.61,833.0,Semi-Furnished,East,Ready to Move,25,0,2,Mumbai,3674.67,Affordable (<50L),98.5
Powai,5,587.03,1296.0,Unfurnished,North,Under Construction,19,0,1,Mumbai,45295.52,Luxury (2Cr+),61.1
Kurla,3,115.92,1105.0,Furnished,West,Ready to Move,3,0,2,Mumbai,10490.5,Premium (1-2Cr),92.8
Parel,1,153.12,638.0,Furnished,North,Under Construction,4,0,2,Mumbai,24000.0,Premium (1-2Cr),90.3
Andheri West,5,463.21,2076.0,Unfurnished,West,Ready to Move,11,0,1,Mumbai,22312.62,Luxury (2Cr+),69.4
Borivali West,5,256.28,1291.0,Furnished,East,Ready to Move,4,0,2,Mumbai,19851.28,Luxury (2Cr+),83.4
Panvel,2,43.34,1120.0,Furnished,South,Ready to Move,15,2,2,Mumbai,3869.64,Affordable (<50L),97.7
Dahisar,2,56.55,1090.0,Semi-Furnished,South,Ready to Move,18,0,3,Mumbai,5188.07,Mid-Range (50-100L),96.8
Kandivali East,4,121.12,1475.0,Semi-Furnished,South,Under Construction,25,2,3,Mumbai,8211.53,Premium (1-2Cr),92.4
Mulund West,2,93.51,905.0,Unfurnished,South,Ready to Move,29,1,3,Mumbai,10332.6,Mid-Range (50-100L),94.3
Vashi,3,156.67,949.0,Furnished,East,Ready to Move,21,2,3,Mumbai,16508.96,Premium (1-2Cr),90.0
Borivali West,2,91.64,700.0,Furnished,South,Under Construction,6,0,1,Mumbai,13091.43,Mid-Range (50-100L),94.4
Malad East,3,93.03,1048.0,Furnished,South,Ready to Move,19,1,3,Mumbai,8876.91,Mid-Range (50-100L),94.3
Lower Parel,3,503.42,1266.0,Furnished,East,Ready to Move,23,1,2,Mumbai,39764.61,Luxury (2Cr+),66.7
Chembur,2,125.29,1108.0,Semi-Furnished,East,Under Construction,16,2,3,Mumbai,11307.76,Premium (1-2Cr),92.2
Nalasopara,3,53.74,1203.0,Furnished,South,Ready to Move,23,2,2,Mumbai,4467.17,Mid-Range (50-100L),97.0
Malad East,1,48.2,754.0,Unfurnished,South,Under Construction,22,0,1,Mumbai,6392.57,Affordable (<50L),97.3
Bandra East,2,217.98,765.0,Furnished,West,Ready to Move,1,2,1,Mumbai,28494.12,Luxury (2Cr+),85.9
Mira Road,1,38.39,840.0,Unfurnished,South,Ready to Move,27,1,1,Mumbai,4570.24,Affordable (<50L),98.0
Nerul,5,232.99,1969.0,Furnished,West,Ready to Move,9,0,1,Mumbai,11832.91,Luxury (2Cr+),84.9
Powai,3,221.53,1486.0,Unfurnished,East,Ready to Move,17,2,3,Mumbai,14907.81,Luxury (2Cr+),85.7
Andheri West,1,62.83,607.0,Semi-Furnished,East,Ready to Move,11,2,2,Mumbai,10350.91,Mid-Range (50-100L),96.4
Dombivli,1,19.88,632.0,Unfurnished,East,Ready to Move,6,0,1,Mumbai,3145.57,Affordable (<50L),99.2
Dahisar,2,57.05,854.0,Semi-Furnished,South,Ready to Move,16,1,2,Mumbai,6680.33,Mid-Range (50-100L),96.7
Navi Mumbai,5,241.54,1793.0,Unfurnished,West,Under Construction,22,2,1,Mumbai,13471.28,Luxury (2Cr+),84.3
Vasai,3,41.27,1256.0,Unfurnished,West,Under Construction,23,2,2,Mumbai,3285.83,Affordable (<50L),97.8
Thane East,2,72.4,726.0,Furnished,South,Under Construction,21,2,3,Mumbai,9972.45,Mid-Range (50-100L),95.7
Worli,1,288.3,701.0,Semi-Furnished,East,Under Construction,24,2,1,Mumbai,41126.96,Luxury (2Cr+),81.2
Navi Mumbai,3,94.91,887.0,Unfurnished,North,Under Construction,1,0,3,Mumbai,10700.11,Mid-Range (50-100L),94.2
Kandivali West,3,96.8,1122.0,Semi-Furnished,East,Under Construction,20,0,2,Mumbai,8627.45,Mid-Range (50-100L),94.1
Malad East,4,217.57,1054.0,Furnished,West,Ready to Move,2,1,2,Mumbai,20642.31,Luxury (2Cr+),86.0
Borivali West,4,180.12,1564.0,Furnished,East,Ready to Move,17,2,2,Mumbai,11516.62,Premium (1-2Cr),88.5
Bandra West,5,822.99,1853.0,Semi-Furnished,South,Under Construction,10,1,2,Mumbai,44413.92,Luxury (2Cr+),45.3
Nalasopara,3,24.48,1130.0,Unfurnished,South,Ready to Move,15,1,3,Mumbai,2166.37,Affordable (<50L),98.9
Kalyan,3,80.79,1013.0,Semi-Furnished,East,Ready to Move,16,1,1,Mumbai,7975.32,Mid-Range (50-100L),95.1
Mira Road,1,36.79,881.0,Semi-Furnished,East,Under Construction,21,2,2,Mumbai,4175.94,Affordable (<50L),98.1
Airoli,2,84.15,801.0,Semi-Furnished,South,Under Construction,25,0,3,Mumbai,10505.62,Mid-Range (50-100L),94.9
Andheri West,1,63.14,878.0,Furnished,South,Ready to Move,1,1,3,Mumbai,7191.34,Mid-Range (50-100L),96.3
Malad West,5,267.55,1354.0,Semi-Furnished,East,Under Construction,18,2,2,Mumbai,19759.97,Luxury (2Cr+),82.6
Ulhasnagar,2,33.96,1157.0,Unfurnished,North,Under Construction,29,2,1,Mumbai,2935.18,Affordable (<50L),98.3
Worli,5,1496.64,1368.0,Unfurnished,East,Ready to Move,10,1,3,Mumbai,109403.51,Luxury (2Cr+),0.0
Dahisar,3,68.65,1420.0,Unfurnished,South,Ready to Move,1,0,3,Mumbai,4834.51,Mid-Range (50-100L),96.0
Kalyan,3,50.95,1126.0,Semi-Furnished,West,Ready to Move,11,1,2,Mumbai,4524.87,Mid-Range (50-100L),97.1
Thane East,3,85.05,1171.0,Unfurnished,East,Under Construction,14,2,2,Mumbai,7263.02,Mid-Range (50-100L),94.9
Virar,1,11.67,896.0,Unfurnished,West,Under Construction,17,0,3,Mumbai,1302.46,Affordable (<50L),99.8
Borivali East,4,116.7,1692.0,Furnished,West,Ready to Move,9,1,2,Mumbai,6897.16,Premium (1-2Cr),92.7
Panvel,1,28.81,637.0,Semi-Furnished,West,Under Construction,4,1,3,Mumbai,4522.76,Affordable (<50L),98.6
Vasai,1,22.37,652.0,Unfurnished,West,Ready to Move,13,1,3,Mumbai,3430.98,Affordable (<50L),99.1
Vashi,2,71.54,841.0,Unfurnished,West,Under Construction,18,0,1,Mumbai,8506.54,Mid-Range (50-100L),95.8
